Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,88.8499984741211,91.30000305175781,88.54000091552734,91.06999969482422,60.54780578613281,44516300
2003-01-03,90.91000366210938,91.37999725341797,90.5,91.3499984741211,60.73394012451172,32222600
2003-01-06,91.23999786376953,93.48999786376953,91.16999816894531,92.95999908447266,61.80435562133789,40984500
2003-01-07,92.9000015258789,93.37000274658203,92.19999694824219,92.7300033569336,61.651458740234375,38640400
2003-01-08,92.19999694824219,92.4000015258789,91.05000305175781,91.38999938964844,60.760562896728516,38702200
2003-01-09,91.81999969482422,93.18000030517578,91.41000366210938,92.80999755859375,61.70463562011719,34804900
2003-01-10,91.94999694824219,93.63999938964844,91.80000305175781,93.05999755859375,61.87083435058594,37768900
2003-01-13,93.54000091552734,93.86000061035156,92.44000244140625,93.02999877929688,61.85091781616211,31649900
2003-01-14,92.69000244140625,93.83000183105469,92.41000366210938,93.33000183105469,62.05035400390625,30733000
2003-01-15,93.54000091552734,93.56999969482422,91.91000366210938,92.4000015258789,61.43204116821289,33511800
2003-01-16,92.5,92.93000030517578,91.44999694824219,92.0199966430664,61.17937088012695,44812100
2003-01-17,90.98999786376953,92.30000305175781,90.1500015258789,90.66000366210938,60.275211334228516,35618300
2003-01-21,90.87000274658203,90.91999816894531,88.94999694824219,89.25,59.33778762817383,36826200
2003-01-22,88.7699966430664,89.80000305175781,88.0,88.16999816894531,58.61970138549805,42286500
2003-01-23,88.75,89.37999725341797,87.94999694824219,88.70999908447266,58.978729248046875,55919800
2003-01-24,88.58999633789062,88.68000030517578,86.16999816894531,86.37999725341797,57.429656982421875,68633900
2003-01-27,85.7300033569336,86.80000305175781,84.5,85.19999694824219,56.64511489868164,57884400
2003-01-28,85.62999725341797,86.4000015258789,85.12999725341797,85.83000183105469,57.06398010253906,46929100
2003-01-29,85.41999816894531,87.18000030517578,84.7699966430664,86.4800033569336,57.49613571166992,53712200
2003-01-30,86.79000091552734,86.87999725341797,84.4000015258789,84.43000030517578,56.133209228515625,49845900
2003-01-31,84.1500015258789,86.20999908447266,84.1500015258789,86.05999755859375,57.216880798339844,55317000
